top - 12:47:31 up  1:13,  4 users,  load average: 0.17, 0.10, 0.12
Tasks: 380 total,   1 running, 379 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  4.3 sy,  0.0 ni, 91.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3387.2 total,    116.1 free,   2238.9 used,   1018.8 buff/cache     
MiB Swap:   3263.0 total,   1960.8 free,   1302.2 used.   1148.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2534 dev-alf+  20   0  310716   5860   5476 S   0.0   0.2   0:00.00 gsd-scr+
   2538 dev-alf+  20   0  469992   8776   8264 S   0.0   0.3   0:00.00 gsd-sha+
   2539 dev-alf+  20   0  387684   6388   6132 S   0.0   0.2   0:00.00 gsd-sma+
   2555 dev-alf+  20   0  257968   7028   6644 S   0.0   0.2   0:00.00 gsd-sou+
   2556 dev-alf+  20   0  416692  11272  10248 S   0.0   0.3   0:00.03 gsd-wac+
   2560 dev-alf+  20   0  464016   8612   7460 S   0.0   0.2   0:00.11 gvfs-ud+
   2575 dev-alf+  20   0  900468  11956  11444 S   0.0   0.3   0:00.03 evoluti+
   2625 dev-alf+  20   0  391300   7196   6940 S   0.0   0.2   0:00.00 goa-ide+
   2651 dev-alf+  20   0  172344   6608   6352 S   0.0   0.2   0:00.00 ibus-me+
   2654 dev-alf+  20   0  421368   9368   8856 S   0.0   0.3   0:00.00 gsd-pri+
   2661 dev-alf+  20   0  426624  11740  10800 S   0.0   0.3   0:01.27 ibus-ex+
   2662 dev-alf+  20   0  757736  14008  13496 S   0.0   0.4   0:00.02 evoluti+
   2667 dev-alf+  20   0  311728   6464   6464 S   0.0   0.2   0:00.00 ibus-po+
   2683 dev-alf+  20   0  310856   5804   5420 S   0.0   0.2   0:00.00 gvfs-go+
   2698 dev-alf+  20   0  312400   5928   5672 S   0.0   0.2   0:00.00 gvfs-gp+
   2706 dev-alf+  20   0  392636   6976   6720 S   0.0   0.2   0:00.23 gvfs-af+
   2712 dev-alf+  20   0  311088   5780   5524 S   0.0   0.2   0:00.00 gvfs-mt+
   2732 dev-alf+  20   0  172472   6620   6364 S   0.0   0.2   0:00.29 ibus-en+
   2740 dev-alf+  20   0  165540   5364   4980 S   0.0   0.2   0:00.00 dconf-s+
   2777 dev-alf+  20   0  172052   5856   5600 S   0.0   0.2   0:00.00 gvfsd-m+
   2778 dev-alf+  20   0  611404   7628   6988 S   0.0   0.2   0:00.01 gvfsd-t+
   2805 dev-alf+  20   0 2593124  13288  12496 S   0.0   0.4   0:00.03 gjs
   2828 dev-alf+  39  19  748308  12948  12348 S   0.0   0.4   0:00.11 localse+
   2882 dev-alf+  20   0  708840  12604  11708 S   0.0   0.4   0:00.15 xdg-des+
   2887 dev-alf+  20   0  536776  15876  14740 S   0.0   0.5   0:00.07 xdg-des+
   2905 dev-alf+  20   0  420740  11860  10964 S   0.0   0.3   0:00.03 xdg-des+
   3033 dev-alf+  20   0  560760  26200  25004 S   0.0   0.8   0:02.37 gnome-t+
   3041 dev-alf+  20   0   11824   3284   3156 S   0.0   0.1   0:00.07 bash
   3058 dev-alf+  20   0  572928  18012  15580 S   0.0   0.5   0:00.19 update-+
   3344 root      20   0  488372  16056  13224 S   0.0   0.5   0:00.80 fwupd
   3418 root      20   0 2143636  21104  11064 S   0.0   0.6   0:09.78 snapd
   4851 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   4978 dev-alf+  20   0   41400   6484   6100 S   0.0   0.2   0:00.19 snapd-d+
   5132 dev-alf+  20   0  435452  11416  11084 S   0.0   0.3   0:00.06 snapd-d+
   5812 root      20   0  391764   8508   8020 S   0.0   0.2   0:00.03 gdm-ses+
   5818 sysadmin  20   0   22980  10500   9220 S   0.0   0.3   0:00.31 systemd
   5820 sysadmin  20   0   23756   2104   2036 S   0.0   0.1   0:00.00 (sd-pam)
   5834 sysadmin  20   0    7272   3104   2976 S   0.0   0.1   0:00.00 mpris-p+
   5835 sysadmin   9 -11  175416   9824   7056 S   0.0   0.3   0:33.49 pipewire
   5837 sysadmin  20   0   87604   3364   3364 S   0.0   0.1   0:00.00 pipewire
   5841 sysadmin   9 -11  487320  14740  11076 S   0.0   0.4   0:00.29 wireplu+
   5846 sysadmin   9 -11  183676  11816   9516 S   0.0   0.3   0:00.13 pipewir+
   5850 sysadmin  20   0   10228   5216   3552 S   0.0   0.2   0:00.52 dbus-da+
   5852 sysadmin  20   0  186104   8756   8244 S   0.0   0.3   0:00.01 gnome-k+
   5880 sysadmin  20   0  171072   5564   5308 S   0.0   0.2   0:00.00 gdm-way+
   5886 sysadmin  20   0  202108   8796   8668 S   0.0   0.3   0:00.00 gnome-s+
   5930 sysadmin  20   0   97688   5644   5516 S   0.0   0.2   0:00.00 gcr-ssh+
   5931 sysadmin  20   0   90168   4396   4396 S   0.0   0.1   0:00.00 gnome-s+
   5941 sysadmin  20   0  315856   6692   6436 S   0.0   0.2   0:00.00 gvfsd
   5950 sysadmin  20   0  395544   6308   6180 S   0.0   0.2   0:00.00 gvfsd-f+
   5986 sysadmin  20   0  703292  10084   9316 S   0.0   0.3   0:00.04 gnome-s+
   6011 sysadmin  20   0  382172   6372   5988 S   0.0   0.2   0:00.00 at-spi-+
   6012 sysadmin  20   0 4032580 196356  68976 S   0.0   5.7   4:06.02 gnome-s+
   6027 sysadmin  20   0    8716   3868   3484 S   0.0   0.1   0:00.00 dbus-da+
   6056 sysadmin  20   0  833116   6352   5840 S   0.0   0.2   0:00.01 xdg-doc+
   6061 sysadmin  20   0  310296   5656   5400 S   0.0   0.2   0:00.00 xdg-per+
   6074 root      20   0    2356   1524   1524 S   0.0   0.0   0:00.00 fusermo+
   6305 sysadmin  20   0  170128   5872   5616 S   0.0   0.2   0:00.00 at-spi2+
   6322 sysadmin  20   0  662636  11588  11300 S   0.0   0.3   0:00.01 gnome-s+
   6330 sysadmin  20   0 1293272  14272  12992 S   0.0   0.4   0:00.03 evoluti+
   6336 sysadmin  20   0  165640   5476   5092 S   0.0   0.2   0:00.00 dconf-s+
   6345 sysadmin  20   0  526120  13552  12912 S   0.0   0.4   0:00.00 goa-dae+
   6347 sysadmin  20   0 2592984  17864  14492 S   0.0   0.5   0:00.03 gjs
   6354 sysadmin  20   0  388924   8444   6664 S   0.0   0.2   0:04.89 ibus-da+
   6355 sysadmin  20   0  245480   5756   5500 S   0.0   0.2   0:00.00 gsd-a11+
   6356 sysadmin  20   0  418052  11824  11056 S   0.0   0.3   0:00.03 gsd-col+
   6359 sysadmin  20   0  258700   7384   7256 S   0.0   0.2   0:00.00 gsd-dat+
   6360 sysadmin  20   0  386972   7340   6700 S   0.0   0.2   0:00.11 gsd-hou+
   6361 sysadmin  20   0  416240  11488  10848 S   0.0   0.3   0:00.01 gsd-key+
   6362 sysadmin  20   0  716224  14152  12616 S   0.0   0.4   0:00.04 gsd-med+
   6363 sysadmin  20   0  494012  12660  11764 S   0.0   0.4   0:00.03 gsd-pow+
